topic_no,topic_label,encoding_kata,decoding_kata,kontribusi
0,Transaksi Nasabah pada BSI Mobile,7414,oke,398.9867591936176
0,Transaksi Nasabah pada BSI Mobile,1588,bris,395.9820349987633
0,Transaksi Nasabah pada BSI Mobile,4485,kayak,388.6078848527385
0,Transaksi Nasabah pada BSI Mobile,7409,oi,380.83997695595446
0,Transaksi Nasabah pada BSI Mobile,1701,buruk,372.5295467738565
0,Transaksi Nasabah pada BSI Mobile,4749,kena,341.99302200020753
0,Transaksi Nasabah pada BSI Mobile,6880,mohon,333.75103689173363
0,Transaksi Nasabah pada BSI Mobile,5374,layanan,326.694386432127
0,Transaksi Nasabah pada BSI Mobile,1523,bnis,319.9942903112662
0,Transaksi Nasabah pada BSI Mobile,8395,potongan,317.29442899607494
0,Transaksi Nasabah pada BSI Mobile,5143,konvensional,316.31782487469513
0,Transaksi Nasabah pada BSI Mobile,11242,ya,307.43563591302154
0,Transaksi Nasabah pada BSI Mobile,5511,listrik,305.0748260871289
0,Transaksi Nasabah pada BSI Mobile,9040,saran,301.4687619218217
0,Transaksi Nasabah pada BSI Mobile,4447,kartu,294.95388352775484
0,Transaksi Nasabah pada BSI Mobile,8266,pilihan,288.40388117926045
0,Transaksi Nasabah pada BSI Mobile,1407,biar,288.20976851627546
0,Transaksi Nasabah pada BSI Mobile,6714,merger,286.25443864518877
0,Transaksi Nasabah pada BSI Mobile,8602,ramah,275.181356563584
0,Transaksi Nasabah pada BSI Mobile,9961,tambahkan,273.12937555375305
0,Transaksi Nasabah pada BSI Mobile,11070,virtual,266.14244531711483
0,Transaksi Nasabah pada BSI Mobile,10986,usaha,265.12693910526144
0,Transaksi Nasabah pada BSI Mobile,6315,mending,261.41522829982955
0,Transaksi Nasabah pada BSI Mobile,6265,menarik,253.21680017141676
0,Transaksi Nasabah pada BSI Mobile,3097,enak,247.12206086169894
0,Transaksi Nasabah pada BSI Mobile,4565,kecewa,240.98943077418184
0,Transaksi Nasabah pada BSI Mobile,9472,setor,239.11144980385373
0,Transaksi Nasabah pada BSI Mobile,1021,beli,228.9210447539227
0,Transaksi Nasabah pada BSI Mobile,7441,online,222.30752463037427
0,Transaksi Nasabah pada BSI Mobile,728,badan,221.14242599976902
0,Transaksi Nasabah pada BSI Mobile,11015,ux,218.84151447374055
0,Transaksi Nasabah pada BSI Mobile,713,baca,210.2716200427233
0,Transaksi Nasabah pada BSI Mobile,6731,mesin,209.71016744787283
0,Transaksi Nasabah pada BSI Mobile,31,aceh,206.79424149192215
0,Transaksi Nasabah pada BSI Mobile,3596,gopay,206.14235712913316
0,Transaksi Nasabah pada BSI Mobile,1623,bsm,205.8231250503216
0,Transaksi Nasabah pada BSI Mobile,3167,ewallet,201.95119651001502
0,Transaksi Nasabah pada BSI Mobile,6247,menabung,201.8550228590769
0,Transaksi Nasabah pada BSI Mobile,7473,orang,201.4159085109879
0,Transaksi Nasabah pada BSI Mobile,5941,mbanking,201.21611975549501
0,Transaksi Nasabah pada BSI Mobile,28,account,200.14228324628237
0,Transaksi Nasabah pada BSI Mobile,1449,bintang,199.51269607819307
0,Transaksi Nasabah pada BSI Mobile,2397,digital,196.72861438285886
0,Transaksi Nasabah pada BSI Mobile,989,beda,191.46073904536135
0,Transaksi Nasabah pada BSI Mobile,6764,milik,191.14230557379264
0,Transaksi Nasabah pada BSI Mobile,8843,ribu,187.5956199117011
0,Transaksi Nasabah pada BSI Mobile,3343,friendly,186.93966852157175
0,Transaksi Nasabah pada BSI Mobile,8910,rupiah,183.66704036656415
0,Transaksi Nasabah pada BSI Mobile,3086,emas,180.93431193532305
0,Transaksi Nasabah pada BSI Mobile,5491,lihat,180.72959362856778
0,Transaksi Nasabah pada BSI Mobile,9926,tabungan,180.6996695335225
0,Transaksi Nasabah pada BSI Mobile,5173,kredit,179.06146873277208
0,Transaksi Nasabah pada BSI Mobile,8815,riba,177.9628932436292
1,BSI Mobile Keren dan Lancar Digunakan,1612,bsi,21285.059660095783
1,BSI Mobile Keren dan Lancar Digunakan,4458,kasih,6481.39549968037
1,BSI Mobile Keren dan Lancar Digunakan,3576,good,6185.938938096268
1,BSI Mobile Keren dan Lancar Digunakan,10254,terima,6020.311937644964
1,BSI Mobile Keren dan Lancar Digunakan,4270,job,5505.121318406126
1,BSI Mobile Keren dan Lancar Digunakan,9317,semoga,5169.078685162649
1,BSI Mobile Keren dan Lancar Digunakan,779,baik,4928.764616413769
1,BSI Mobile Keren dan Lancar Digunakan,6850,mobile,4729.671470957017
1,BSI Mobile Keren dan Lancar Digunakan,502,aplikasi,4528.486907061634
1,BSI Mobile Keren dan Lancar Digunakan,5313,lancar,4224.637229233826
1,BSI Mobile Keren dan Lancar Digunakan,7531,pakai,3273.040446760272
1,BSI Mobile Keren dan Lancar Digunakan,5797,mantap,3241.6945590919363
1,BSI Mobile Keren dan Lancar Digunakan,523,aplikasinya,3019.779830550455
1,BSI Mobile Keren dan Lancar Digunakan,7757,pembaruan,2859.970194072425
1,BSI Mobile Keren dan Lancar Digunakan,4830,keren,2641.2851292747387
1,BSI Mobile Keren dan Lancar Digunakan,255,alhamdulillah,2319.2824928543773
1,BSI Mobile Keren dan Lancar Digunakan,4204,jaya,2058.141295013709
1,BSI Mobile Keren dan Lancar Digunakan,7357,nyaman,1733.2890453309349
1,BSI Mobile Keren dan Lancar Digunakan,9335,senang,1703.8752948536578
1,BSI Mobile Keren dan Lancar Digunakan,749,bagus,1677.0288524961968
1,BSI Mobile Keren dan Lancar Digunakan,11242,ya,1646.1004620320948
1,BSI Mobile Keren dan Lancar Digunakan,7347,nya,1611.6386225204376
1,BSI Mobile Keren dan Lancar Digunakan,9809,sukses,1417.2870454158583
1,BSI Mobile Keren dan Lancar Digunakan,4595,kedepannya,1261.5324883252626
1,BSI Mobile Keren dan Lancar Digunakan,1458,bisa,1241.7111843019063
1,BSI Mobile Keren dan Lancar Digunakan,10506,tidak,1232.286126442365
1,BSI Mobile Keren dan Lancar Digunakan,6072,membantu,1077.9512723421096
1,BSI Mobile Keren dan Lancar Digunakan,7258,nih,895.8854808694016
1,BSI Mobile Keren dan Lancar Digunakan,6225,memudahkan,830.6207021875127
1,BSI Mobile Keren dan Lancar Digunakan,2150,deh,768.6861109761761
1,BSI Mobile Keren dan Lancar Digunakan,10654,transaksi,716.5275717430204
1,BSI Mobile Keren dan Lancar Digunakan,5672,maju,663.9187033325763
1,BSI Mobile Keren dan Lancar Digunakan,2841,ditingkatkan,658.2204955853616
1,BSI Mobile Keren dan Lancar Digunakan,8521,pulih,634.1423215899626
1,BSI Mobile Keren dan Lancar Digunakan,10542,tingkatkan,584.0180764444947
1,BSI Mobile Keren dan Lancar Digunakan,7163,ngecewain,576.0357288697817
1,BSI Mobile Keren dan Lancar Digunakan,6216,memuaskan,554.1835557334094
1,BSI Mobile Keren dan Lancar Digunakan,7704,pelayanan,550.0000499206377
1,BSI Mobile Keren dan Lancar Digunakan,1203,berkembang,541.8513757831596
1,BSI Mobile Keren dan Lancar Digunakan,4767,kendala,527.5743448989832
1,BSI Mobile Keren dan Lancar Digunakan,10164,terbaik,471.43956794264
1,BSI Mobile Keren dan Lancar Digunakan,1113,berdoa,466.27421772162967
1,BSI Mobile Keren dan Lancar Digunakan,2883,diupdate,455.6900190558746
1,BSI Mobile Keren dan Lancar Digunakan,3271,fitur,397.4222718968181
1,BSI Mobile Keren dan Lancar Digunakan,7933,pengguna,396.790576350037
1,BSI Mobile Keren dan Lancar Digunakan,5661,maintenance,390.29502984868384
1,BSI Mobile Keren dan Lancar Digunakan,1186,berkah,371.10220655708207
1,BSI Mobile Keren dan Lancar Digunakan,5380,layanannya,368.41372659542947
1,BSI Mobile Keren dan Lancar Digunakan,1249,bermanfaat,361.7517313503046
1,BSI Mobile Keren dan Lancar Digunakan,6403,mengecewakan,339.4198694198802
1,BSI Mobile Keren dan Lancar Digunakan,6192,mempermudah,331.026294534229
1,BSI Mobile Keren dan Lancar Digunakan,1449,bintang,325.55720213498404
1,BSI Mobile Keren dan Lancar Digunakan,7414,oke,304.3006972018351
1,BSI Mobile Keren dan Lancar Digunakan,1173,berjalan,302.56133449192504
1,BSI Mobile Keren dan Lancar Digunakan,347,amin,284.45891580391265
1,BSI Mobile Keren dan Lancar Digunakan,5374,layanan,282.24072514652414
1,BSI Mobile Keren dan Lancar Digunakan,1130,berfungsi,280.4846751693088
1,BSI Mobile Keren dan Lancar Digunakan,3563,god,279.1421923160584
1,BSI Mobile Keren dan Lancar Digunakan,7709,pelayanannya,273.6117841380048
1,BSI Mobile Keren dan Lancar Digunakan,8508,puas,266.41492398379745
1,BSI Mobile Keren dan Lancar Digunakan,4856,kerja,252.14339642861262
1,BSI Mobile Keren dan Lancar Digunakan,3280,fiturnya,250.31774852102095
1,BSI Mobile Keren dan Lancar Digunakan,7306,normal,234.01862964642623
1,BSI Mobile Keren dan Lancar Digunakan,3431,gampang,225.31718065707176
1,BSI Mobile Keren dan Lancar Digunakan,3097,enak,224.6178559330135
1,BSI Mobile Keren dan Lancar Digunakan,10175,terbaru,224.55373055264104
1,BSI Mobile Keren dan Lancar Digunakan,322,amanah,218.3842230417773
1,BSI Mobile Keren dan Lancar Digunakan,9309,semenjak,215.93776040206316
1,BSI Mobile Keren dan Lancar Digunakan,875,banking,212.10709359603283
1,BSI Mobile Keren dan Lancar Digunakan,7062,nasabah,204.65136568392558
1,BSI Mobile Keren dan Lancar Digunakan,7991,peningkatan,196.80468075289673
1,BSI Mobile Keren dan Lancar Digunakan,9296,semangat,186.20011471482857
1,BSI Mobile Keren dan Lancar Digunakan,4274,jobs,175.14243895241182
1,BSI Mobile Keren dan Lancar Digunakan,5458,lengkap,163.19891144552014
1,BSI Mobile Keren dan Lancar Digunakan,6031,memakai,161.7377327056241
1,BSI Mobile Keren dan Lancar Digunakan,8212,pertahankan,160.0394192253412
1,BSI Mobile Keren dan Lancar Digunakan,4911,kesini,144.95504361752913
1,BSI Mobile Keren dan Lancar Digunakan,10398,tersenyum,138.69186137819523
1,BSI Mobile Keren dan Lancar Digunakan,10172,terbantu,137.48252847262052
1,BSI Mobile Keren dan Lancar Digunakan,10101,teman,129.0554867132588
1,BSI Mobile Keren dan Lancar Digunakan,450,apapun,125.7705290395049
1,BSI Mobile Keren dan Lancar Digunakan,4485,kayak,125.38992251353869
1,BSI Mobile Keren dan Lancar Digunakan,564,app,115.86030871964684
1,BSI Mobile Keren dan Lancar Digunakan,4285,joob,115.14235107294444
1,BSI Mobile Keren dan Lancar Digunakan,5198,kualitas,115.05396270326118
1,BSI Mobile Keren dan Lancar Digunakan,3579,goodjob,113.68305400144311
1,BSI Mobile Keren dan Lancar Digunakan,4734,kembangkan,113.16057885375581
1,BSI Mobile Keren dan Lancar Digunakan,5203,kuat,111.69544851647763
1,BSI Mobile Keren dan Lancar Digunakan,7946,penggunanya,103.59480891424539
1,BSI Mobile Keren dan Lancar Digunakan,1470,bismillah,102.4664010463101
1,BSI Mobile Keren dan Lancar Digunakan,1307,bersinar,102.14200009261924
1,BSI Mobile Keren dan Lancar Digunakan,878,bankingnya,97.97024432205819
1,BSI Mobile Keren dan Lancar Digunakan,4723,kemarin,95.32461207310422
1,BSI Mobile Keren dan Lancar Digunakan,2167,depannya,91.71679455284274
1,BSI Mobile Keren dan Lancar Digunakan,5941,mbanking,91.06904324076808
1,BSI Mobile Keren dan Lancar Digunakan,6941,mudah,88.53512887359929
1,BSI Mobile Keren dan Lancar Digunakan,8061,perbaikan,85.32571723069104
1,BSI Mobile Keren dan Lancar Digunakan,10221,terdepan,85.04885755394612
1,BSI Mobile Keren dan Lancar Digunakan,11223,wow,84.84011274575947
1,BSI Mobile Keren dan Lancar Digunakan,10932,untung,84.35234253081842
2,Kenyamanan pada BSI Mobile,4830,keren,14454.935211905748
2,Kenyamanan pada BSI Mobile,841,banget,13405.50850899438
2,Kenyamanan pada BSI Mobile,5458,lengkap,9907.8986226086
2,Kenyamanan pada BSI Mobile,523,aplikasinya,9116.017083208271
2,Kenyamanan pada BSI Mobile,3271,fitur,8932.304674052977
2,Kenyamanan pada BSI Mobile,502,aplikasi,8897.801513350509
2,Kenyamanan pada BSI Mobile,749,bagus,8040.445069401703
2,Kenyamanan pada BSI Mobile,6941,mudah,7410.761617757375
2,Kenyamanan pada BSI Mobile,3280,fiturnya,7123.139300196639
2,Kenyamanan pada BSI Mobile,7347,nya,6629.47802176013
2,Kenyamanan pada BSI Mobile,2150,deh,4367.631126950316
2,Kenyamanan pada BSI Mobile,10506,tidak,3954.262650227072
2,Kenyamanan pada BSI Mobile,8350,pokoknya,3416.0308244060025
2,Kenyamanan pada BSI Mobile,1612,bsi,3284.3323952028654
2,Kenyamanan pada BSI Mobile,7357,nyaman,3052.139418479926
2,Kenyamanan pada BSI Mobile,5797,mantap,2992.667710985831
2,Kenyamanan pada BSI Mobile,7531,pakai,2353.6727224145857
2,Kenyamanan pada BSI Mobile,7258,nih,2170.6312948513296
2,Kenyamanan pada BSI Mobile,9335,senang,2049.5818568113295
2,Kenyamanan pada BSI Mobile,320,aman,1774.2956384081467
2,Kenyamanan pada BSI Mobile,9537,sih,1737.4419010709987
2,Kenyamanan pada BSI Mobile,1846,cepat,1668.7099608518001
2,Kenyamanan pada BSI Mobile,9798,suka,1636.2589409514176
2,Kenyamanan pada BSI Mobile,4094,islami,1615.7789523562803
2,Kenyamanan pada BSI Mobile,5374,layanan,1547.4545926687374
2,Kenyamanan pada BSI Mobile,3431,gampang,1441.9006829819064
2,Kenyamanan pada BSI Mobile,8830,ribet,1366.11604358858
2,Kenyamanan pada BSI Mobile,6072,membantu,1306.459508439851
2,Kenyamanan pada BSI Mobile,10889,unduh,1082.0975516887838
2,Kenyamanan pada BSI Mobile,1141,berguna,1006.2094889767385
2,Kenyamanan pada BSI Mobile,9965,tampilan,997.8080145188917
2,Kenyamanan pada BSI Mobile,1249,bermanfaat,964.7844770633537
2,Kenyamanan pada BSI Mobile,8963,salat,955.7659969844092
2,Kenyamanan pada BSI Mobile,1376,best,935.1414839380561
2,Kenyamanan pada BSI Mobile,8412,praktis,926.2806980279763
2,Kenyamanan pada BSI Mobile,10486,the,835.8717186210811
2,Kenyamanan pada BSI Mobile,6265,menarik,773.040222901761
2,Kenyamanan pada BSI Mobile,9967,tampilannya,761.5964565221848
2,Kenyamanan pada BSI Mobile,2603,dipakai,732.907818944161
2,Kenyamanan pada BSI Mobile,10607,top,697.2432979422433
2,Kenyamanan pada BSI Mobile,4100,islaminya,657.4652072758843
2,Kenyamanan pada BSI Mobile,7414,oke,644.5357254130279
2,Kenyamanan pada BSI Mobile,697,azan,642.141981807953
2,Kenyamanan pada BSI Mobile,1030,benar,636.9749737953694
2,Kenyamanan pada BSI Mobile,7757,pembaruan,632.1469218422986
2,Kenyamanan pada BSI Mobile,6192,mempermudah,593.3507985685475
2,Kenyamanan pada BSI Mobile,10654,transaksi,591.3718041854323
2,Kenyamanan pada BSI Mobile,5555,lokasi,573.3457721379814
2,Kenyamanan pada BSI Mobile,6850,mobile,567.9430754587943
2,Kenyamanan pada BSI Mobile,564,app,513.8779543483269
2,Kenyamanan pada BSI Mobile,1429,bikin,513.4099995368093
2,Kenyamanan pada BSI Mobile,5874,masjid,505.1421970218758
2,Kenyamanan pada BSI Mobile,6667,menyesal,503.6922667509453
2,Kenyamanan pada BSI Mobile,179,aktivasi,500.5919432805281
2,Kenyamanan pada BSI Mobile,4334,juz,483.14220179866646
2,Kenyamanan pada BSI Mobile,1766,canggih,471.10891347443396
2,Kenyamanan pada BSI Mobile,255,alhamdulillah,469.01461989305
2,Kenyamanan pada BSI Mobile,2600,dipahami,446.73866641531697
2,Kenyamanan pada BSI Mobile,7163,ngecewain,434.233554049124
2,Kenyamanan pada BSI Mobile,5313,lancar,417.89448429628317
2,Kenyamanan pada BSI Mobile,4143,jadwal,415.69887359984307
2,Kenyamanan pada BSI Mobile,7316,notifikasi,402.7389165496735
2,Kenyamanan pada BSI Mobile,4380,kalah,393.60878623304467
2,Kenyamanan pada BSI Mobile,5008,kiblat,381.87842028143393
2,Kenyamanan pada BSI Mobile,6225,memudahkan,379.2938992869424
2,Kenyamanan pada BSI Mobile,183,aktivasinya,378.7802617426635
2,Kenyamanan pada BSI Mobile,350,amma,378.1422029916577
2,Kenyamanan pada BSI Mobile,1458,bisa,377.8567750692705
2,Kenyamanan pada BSI Mobile,8668,recommended,371.5018077341941
2,Kenyamanan pada BSI Mobile,586,arah,368.55567156253954
2,Kenyamanan pada BSI Mobile,8344,pokok,348.1859214605763
2,Kenyamanan pada BSI Mobile,7933,pengguna,342.54878160482315
2,Kenyamanan pada BSI Mobile,11115,wajib,315.3460797902733
2,Kenyamanan pada BSI Mobile,9572,sip,312.47205318948374
2,Kenyamanan pada BSI Mobile,3999,informasinya,291.90706814895316
2,Kenyamanan pada BSI Mobile,8736,rekomendasi,281.54693932093426
2,Kenyamanan pada BSI Mobile,576,apps,268.9964491319505
2,Kenyamanan pada BSI Mobile,10218,terdekat,257.5382243600098
2,Kenyamanan pada BSI Mobile,4485,kayak,257.47546759925507
2,Kenyamanan pada BSI Mobile,2794,ditambah,251.1570416254539
2,Kenyamanan pada BSI Mobile,7955,pengingat,248.12278332788142
2,Kenyamanan pada BSI Mobile,3097,enak,233.3865985108183
2,Kenyamanan pada BSI Mobile,475,apknya,224.98124957582408
2,Kenyamanan pada BSI Mobile,3111,enggak,223.85307382972903
2,Kenyamanan pada BSI Mobile,1699,buruan,220.72315562233095
2,Kenyamanan pada BSI Mobile,1443,bingung,220.20730092830047
2,Kenyamanan pada BSI Mobile,2531,dilengkapi,217.67991022774513
2,Kenyamanan pada BSI Mobile,7006,muslim,217.39417012686988
2,Kenyamanan pada BSI Mobile,10661,transaksinya,213.78803309170817
2,Kenyamanan pada BSI Mobile,9836,super,208.92077355082498
2,Kenyamanan pada BSI Mobile,7524,pahami,208.8168673064931
2,Kenyamanan pada BSI Mobile,2559,dimengerti,204.47198251746934
2,Kenyamanan pada BSI Mobile,9555,simpel,201.98861682111885
2,Kenyamanan pada BSI Mobile,8662,recomended,196.61603315629327
2,Kenyamanan pada BSI Mobile,5591,lumayan,191.35780201041786
2,Kenyamanan pada BSI Mobile,7625,pastinya,182.7358901246267
2,Kenyamanan pada BSI Mobile,3995,informasi,182.0124209624208
2,Kenyamanan pada BSI Mobile,6431,mengerti,177.4515663007041
2,Kenyamanan pada BSI Mobile,1931,coba,175.46808997991536
2,Kenyamanan pada BSI Mobile,3343,friendly,173.7642204240677
3,BSI Mobile Susah digunakan dan Sering Eror,10506,tidak,17595.814893561266
3,BSI Mobile Susah digunakan dan Sering Eror,1458,bisa,15056.562193556272
3,BSI Mobile Susah digunakan dan Sering Eror,502,aplikasi,7649.992826221048
3,BSI Mobile Susah digunakan dan Sering Eror,7347,nya,4122.677011923509
3,BSI Mobile Susah digunakan dan Sering Eror,1660,buka,4055.8499527287663
3,BSI Mobile Susah digunakan dan Sering Eror,11242,ya,3483.5867326301272
3,BSI Mobile Susah digunakan dan Sering Eror,10591,tolong,3024.3471535348717
3,BSI Mobile Susah digunakan dan Sering Eror,7757,pembaruan,2881.575443960823
3,BSI Mobile Susah digunakan dan Sering Eror,1612,bsi,2704.4343229718156
3,BSI Mobile Susah digunakan dan Sering Eror,8166,permintaan,2591.2233703515117
3,BSI Mobile Susah digunakan dan Sering Eror,2329,dibuka,2513.125855555473
3,BSI Mobile Susah digunakan dan Sering Eror,4619,kehabisan,2405.9151263952385
3,BSI Mobile Susah digunakan dan Sering Eror,5067,kok,2365.1077508250073
3,BSI Mobile Susah digunakan dan Sering Eror,3141,error,2293.2114636676497
3,BSI Mobile Susah digunakan dan Sering Eror,9857,susah,2235.665799475987
3,BSI Mobile Susah digunakan dan Sering Eror,523,aplikasinya,2189.133629188293
3,BSI Mobile Susah digunakan dan Sering Eror,3129,eror,2028.6365270087483
3,BSI Mobile Susah digunakan dan Sering Eror,5889,masuk,1872.1124766944872
3,BSI Mobile Susah digunakan dan Sering Eror,6880,mohon,1796.506190890326
3,BSI Mobile Susah digunakan dan Sering Eror,841,banget,1708.4223217675765
3,BSI Mobile Susah digunakan dan Sering Eror,8064,perbaiki,1645.0010918870173
3,BSI Mobile Susah digunakan dan Sering Eror,3648,habis,1590.321998545984
3,BSI Mobile Susah digunakan dan Sering Eror,4233,jelek,1542.6935279528918
3,BSI Mobile Susah digunakan dan Sering Eror,3441,gangguan,1509.7311618362837
3,BSI Mobile Susah digunakan dan Sering Eror,10654,transaksi,1391.6637765113867
3,BSI Mobile Susah digunakan dan Sering Eror,2635,diperbaiki,1380.7893130131622
3,BSI Mobile Susah digunakan dan Sering Eror,3723,handphone,1183.4110362985998
3,BSI Mobile Susah digunakan dan Sering Eror,10008,tapi,1126.2182386014804
3,BSI Mobile Susah digunakan dan Sering Eror,9537,sih,1123.4992794642458
3,BSI Mobile Susah digunakan dan Sering Eror,1449,bintang,967.9797435500681
3,BSI Mobile Susah digunakan dan Sering Eror,7258,nih,952.1896880295886
3,BSI Mobile Susah digunakan dan Sering Eror,10677,transfer,944.1665041517823
3,BSI Mobile Susah digunakan dan Sering Eror,4184,jaringan,941.7644384904985
3,BSI Mobile Susah digunakan dan Sering Eror,6850,mobile,932.5861781818835
3,BSI Mobile Susah digunakan dan Sering Eror,6981,mulu,895.8661638421404
3,BSI Mobile Susah digunakan dan Sering Eror,7531,pakai,887.9642020945698
3,BSI Mobile Susah digunakan dan Sering Eror,3386,gagal,882.3988472699886
3,BSI Mobile Susah digunakan dan Sering Eror,6992,muncul,858.9272551437425
3,BSI Mobile Susah digunakan dan Sering Eror,5544,login,839.876319532972
3,BSI Mobile Susah digunakan dan Sering Eror,4390,kali,789.2848290033278
3,BSI Mobile Susah digunakan dan Sering Eror,11051,versi,776.998835030071
3,BSI Mobile Susah digunakan dan Sering Eror,5433,lemot,772.9938638779712
3,BSI Mobile Susah digunakan dan Sering Eror,7589,parah,732.324526561392
3,BSI Mobile Susah digunakan dan Sering Eror,564,app,721.5961690883682
3,BSI Mobile Susah digunakan dan Sering Eror,875,banking,719.7394200620431
3,BSI Mobile Susah digunakan dan Sering Eror,749,bagus,716.3555353790581
3,BSI Mobile Susah digunakan dan Sering Eror,7607,pas,703.8981925453048
3,BSI Mobile Susah digunakan dan Sering Eror,378,android,680.8768861662926
3,BSI Mobile Susah digunakan dan Sering Eror,11111,wajah,673.1877158762311
3,BSI Mobile Susah digunakan dan Sering Eror,11037,verifikasi,670.7779560489673
3,BSI Mobile Susah digunakan dan Sering Eror,1652,bug,633.9477621675625
3,BSI Mobile Susah digunakan dan Sering Eror,1429,bikin,615.3609474701824
3,BSI Mobile Susah digunakan dan Sering Eror,6769,min,586.1524773754737
3,BSI Mobile Susah digunakan dan Sering Eror,4723,kemarin,573.064790858266
3,BSI Mobile Susah digunakan dan Sering Eror,1723,butuh,542.1854674892211
3,BSI Mobile Susah digunakan dan Sering Eror,5615,maaf,538.8451470501747
3,BSI Mobile Susah digunakan dan Sering Eror,3111,enggak,524.4115668065488
3,BSI Mobile Susah digunakan dan Sering Eror,2603,dipakai,518.6946047628841
3,BSI Mobile Susah digunakan dan Sering Eror,10790,tulisan,508.0013480684844
3,BSI Mobile Susah digunakan dan Sering Eror,153,akses,504.93105530938124
3,BSI Mobile Susah digunakan dan Sering Eror,1254,bermasalah,503.9719510917655
3,BSI Mobile Susah digunakan dan Sering Eror,4565,kecewa,481.6970720746801
3,BSI Mobile Susah digunakan dan Sering Eror,1931,coba,470.9526528588382
3,BSI Mobile Susah digunakan dan Sering Eror,7062,nasabah,446.73052802243586
3,BSI Mobile Susah digunakan dan Sering Eror,5526,loading,442.8048696683702
3,BSI Mobile Susah digunakan dan Sering Eror,4485,kayak,431.89331011520056
3,BSI Mobile Susah digunakan dan Sering Eror,10900,uninstall,428.84761835733985
3,BSI Mobile Susah digunakan dan Sering Eror,3737,hapus,421.43579253382313
3,BSI Mobile Susah digunakan dan Sering Eror,7473,orang,415.74381233746334
3,BSI Mobile Susah digunakan dan Sering Eror,4356,kadang,395.3411536187607
3,BSI Mobile Susah digunakan dan Sering Eror,5416,lelet,394.6997753077501
3,BSI Mobile Susah digunakan dan Sering Eror,9583,sistem,390.5842352653156
